algorithm,paths_completed,nodes_expanded,total_path_length,paths_attempted
astar,43,503,1813,43
astar,44,513,1860,44
astar,45,541,1899,45
astar,44,493,1858,44
astar,42,525,1774,42
astar,43,546,1817,43
astar,44,515,1855,44
astar,42,547,1771,42
astar,44,567,1855,44
astar,44,385,1855,44
greedy,46,170,2125,46
greedy,50,174,2309,50
greedy,48,168,2216,48
greedy,48,176,2218,48
greedy,48,168,2216,48
greedy,47,169,2171,47
greedy,50,192,2313,50
greedy,54,184,2492,54
greedy,47,165,2171,47
greedy,54,200,2496,54
dijkstra,44,557,1857,44
dijkstra,42,482,1771,42
dijkstra,43,485,1813,43
dijkstra,42,538,1771,42
dijkstra,42,512,1774,42
dijkstra,42,533,1771,42
dijkstra,41,498,1730,41
dijkstra,41,555,1728,41
dijkstra,43,578,1816,43
dijkstra,42,507,1771,42
